Name,Address,City,Date,Start Time,End Time,Zipcode,Latitude,Longitude,Area of the City,Type,Hours
Cantu/Pan Am Recreation Center,2100 East 3rd Street ,Austin,12/1/2014,14:00,18:00,78702,30.258039,-97.720878,E,EM,V
Del Valle ISD Administration Building,5301 Ross RD,Del Valle,12/1/2014,9:00,18:00,78617,30.176036,-97.613418,SE,EM,V
LBJ Building,111 East 17th Street ,Austin,12/1/2014,8:00,17:00,78701,30.278674,-97.737615,C,EM,V
Town Lake Center,721 Barton Springs Road ,Austin,12/1/2014,8:00,12:00,78704,30.258669,-97.752019,SC,EM,V
University of Texas Flawn Academic Center,2400 Inner Campus Drive ,Austin,12/1/2014,7:00,19:00,78713,30.286086,-97.74033,C,EM,V
ACC Rio Grande Campus,1212 Rio Grande Street ,Austin,12/2/2014,8:00,17:00,78701,30.27648,-97.7471,C,EM,V
Brookdale Beckett Meadows,7709 Beckett Road ,Austin,12/2/2014,8:00,10:00,78749,30.21802,-97.86066,SW,EM,V
Brookdale Westlake Hills,1034 Liberty Park Drive ,Austin,12/2/2014,12:00,14:00,78746,30.26775,-97.787633,W,EM,V
Manor ISD Administration Building,10335 Hwy 290 East ,Manor,12/2/2014,9:00,18:00,78653,30.344649,-97.573453,E,EM,V
University of Texas Flawn Academic Center,2400 Inner Campus Drive ,Austin,12/2/2014,7:00,19:00,78713,30.286086,-97.74033,C,EM,V
Brookdale Spicewood Springs,4401 Spicewood Springs Road ,Austin,12/3/2014,12:00,14:00,78759,30.372289,-97.758826,NW,EM,V
Heartland Health Care Center,11406 Rustic Rock Drive ,Austin,12/3/2014,8:00,10:00,78750,30.429924,-97.782571,NW,EM,V
Huston-Tillotson University,900 Chicon Street ,Austin,12/3/2014,8:00,18:00,78702,30.264701,-97.721688,E,EM,V
Stephen F. Austin Building,1700 North Congress Avenue ,Austin,12/3/2014,8:00,17:00,78701,30.27938,-97.73936,C,EM,V
University of Texas Flawn Academic Center,2400 Inner Campus Drive ,Austin,12/3/2014,7:00,19:00,78713,30.286086,-97.74033,C,EM,V
Community Center at Manor,600 West Carrie Manor St. ,Manor,12/4/2014,9:00,14:00,78653,30.340233,-97.563738,E,EM,V
Continental Retirement Community,4604 South Lamar Boulevard ,Austin,12/4/2014,16:00,18:00,78745,30.234145,-97.803249,SW,EM,V
Englewood Estates,2603 Jones Road ,Austin,12/4/2014,8:00,10:00,78745,30.223985,-97.801516,S,EM,V
Services for the Deaf & Hard of Hearing,2201 Post Road Suite 100 ,Austin,12/4/2014,12:00,14:00,78704,30.24085,-97.75135,S,EM,V
University of Texas Flawn Academic Center,2400 Inner Campus Drive ,Austin,12/4/2014,7:00,19:00,78713,30.286086,-97.74033,C,EM,V
Central Services Building,1711 San Jacinto Boulevard,Austin,12/5/2014,8:00,17:00,78701,30.27869,-97.735928,C,EM,V
Heritage Pointe,1950 Webberville Road ,Austin,12/5/2014,16:00,18:00,78721,30.284326,-97.672078,E,EM,V
Lakeside Senior Center,85 Trinity Street ,Austin,12/5/2014,12:00,14:00,78701,30.26146,-97.741097,C,EM,V
RBJ Residential Tower,21 Waller Street ,Austin,12/5/2014,8:00,10:00,78702,30.25304,-97.7338,E,EM,V
University of Texas Flawn Academic Center,2400 Inner Campus Drive ,Austin,12/5/2014,7:00,19:00,78713,30.286086,-97.74033,C,EM,V
Ce-Bar Fire Department,353 South Commons Ford Road ,Austin,12/6/2014,8:00,17:00,78733,30.323906,-97.873423,W,EM,V
University of Texas Flawn Academic Center,2400 Inner Campus Drive ,Austin,12/6/2014,7:00,19:00,78713,30.286086,-97.74033,C,EM,V
Volente Fire Department,15406 FM 2769,Volente,12/6/2014,8:00,17:00,78641,30.43569,-97.90388,NW,EM,V
Wheatsville Food Co-op South Lamar,4001 South Lamar Blvd. ,Austin,12/6/2014,9:00,18:00,78704,30.235728,-97.791032,S,EM,V
Longhorn Village,12501 Longhorn  Parkway,Austin,12/7/2014,12:00,16:00,78732,30.351019,-97.911122,W,EM,V
Lost Creek MUD Office,1305 Quaker Ridge Drive ,Austin,12/7/2014,12:00,18:00,78746,30.28377,-97.83352,W,EM,V
