Pct.,Name,Combined Pcts.,Address,City,Date,Start Time,End Time,Zip Code,Latitude,Longitude,Area of City,Type,Hours,EZVote Code,Election Code,Boss Code
101,Dailey Middle School,"114, 115, 116, 119, 138",14000 Westall Street,Austin,11/4/2014,7:00,19:00,78725,30.242793,-97.58975,E,ED,R,427,G14,32
102,Copperfield Elementary School, ,12135 Thompkins Drive,Austin,11/4/2014,7:00,19:00,78753,30.388295,-97.66011,NE,ED,R,302,G14,33
103,Graham Elementary School,"104, 108",11211 Tom Adams Drive,Austin,11/4/2014,7:00,19:00,78753,30.37274,-97.6692,NE,ED,R,701,G14,34
105,Manor ISD Administration Building,  ,10335 Hwy 290 East,Manor,11/4/2014,7:00,19:00,78653,30.344621,-97.573528,E,ED,R,1339,G14,35
106,Elgin High School,  ,14000 County Line Road,Elgin,11/4/2014,7:00,19:00,78621,30.366062,-97.403771,E,ED,R,506,G14,36
107,New Sweden Lutheran Church,  ,12809 New Sweden Church Road,Manor,11/4/2014,7:00,19:00,78653,30.405546,-97.486767,NE,ED,R,1405,G14,37
109,Parmer Lane Elementary School,111,1806 Parmer Lane,Austin,11/4/2014,7:00,19:00,78727,30.414372,-97.691717,N,ED,R,1600,G14,38
110,Park Crest Middle School,161,1500 North Railroad Avenue,Pflugerville,11/4/2014,7:00,19:00,78660,30.456036,-97.618461,NE,ED,R,1675,G14,39
112,Dessau Elementary School,  ,1501 Dessau Ridge Lane,Austin,11/4/2014,7:00,19:00,78754,30.401533,-97.643749,NE,ED,R,401,G14,40
113,Wieland Elementary School,  ,900 Tudor House Road,Pflugerville,11/4/2014,7:00,19:00,78660,30.422273,-97.639275,NE,ED,R,2334,G14,41
117,Turner-Roberts Recreation Center,120,7201 Colony Loop Drive,Austin,11/4/2014,7:00,19:00,78724,30.300165,-97.636786,E,ED,R,2021,G14,42
1210,Delco Center,  ,4601 Pecan Brook Dr.,Austin,11/4/2014,7:00,19:00,78724,30.318025,-97.661204,E,ED,R,433,G14,43
121,LBJ High School,"128, 131, 134",7309 Lazy Creek Drive,Austin,11/4/2014,7:00,19:00,78724,30.3131,-97.65676,E,ED,R,1201,G14,44
122,YMCA East Community Branch,  ,5315 Ed Bluestein Boulevard,Austin,11/4/2014,7:00,19:00,78723,30.292079,-97.662262,E,ED,R,2500,G14,45
123,Murchison Elementary School,  ,2215 Kelly Lane,Pflugerville,11/4/2014,7:00,19:00,78660,30.467253,-97.586918,NE,ED,R,1336,G14,46
124,Carver Library,  ,1161 Angelina Street,Austin,11/4/2014,7:00,19:00,78702,30.26968,-97.72418,E,ED,R,335,G14,47
126,David Chapel Portable,  ,2211 East MLK Jr. Boulevard,Austin,11/4/2014,7:00,19:00,78702,30.280221,-97.717517,E,ED,R,404,G14,48
129,Sims Elementary School,  ,1203 Springdale Road,Austin,11/4/2014,7:00,19:00,78721,30.279507,-97.686068,E,ED,R,1907,G14,49
130,Memorial United Methodist Church,118,6100 Berkman Drive,Austin,11/4/2014,7:00,19:00,78723,30.316198,-97.692964,E,ED,R,1315,G14,50
132,Pecan Springs Elementary School,  ,3100 Rogge Lane,Austin,11/4/2014,7:00,19:00,78723,30.30285,-97.676922,E,ED,R,1604,G14,51
133,Blanton Elementary School,  ,5408 Westminster Drive,Austin,11/4/2014,7:00,19:00,78723,30.307318,-97.69058,E,ED,R,203,G14,52
135,Messiah Lutheran Church,  ,5701 Cameron Road,Austin,11/4/2014,7:00,19:00,78723,30.315154,-97.701137,E,ED,R,1316,G14,53
136,Pfluger Hall & Conference Center,  ,201B East Pecan Street,Pflugerville,11/4/2014,7:00,19:00,78660,30.438009,-97.620285,NE,ED,R,1605,G14,54
