Name,Address,City,Date,Zipcode,Start Time,End Time,Longitude,Latitude,Area of the City,Type,Hours,Election Code
ACC Eastview Campus,3401 Webberville Road ,Austin,10/20/2014,78702,8:00,19:00,-97.70696,30.26834,E,EM,V,G14
ACC Northridge Campus,11928 Stonehollow Drive ,Austin,10/20/2014,78758,8:00,18:00,-97.70448,30.40319,N,EM,V,G14
ACC Rio Grande Campus,1212 Rio Grande Street ,Austin,10/20/2014,78701,8:00,19:00,-97.7471,30.27648,C,EM,V,G14
ACC South Austin Campus,1820 West Stassney Lane  ,Austin,10/20/2014,78745,8:00,19:00,-97.795959,30.21565,S,EM,V,G14
LBJ Building,111 East 17th Street ,Austin,10/20/2014,78701,8:00,17:00,-97.737615,30.278674,C,EM,V,G14
Lago Vista City Hall,5803 Thunderbird Street ,Lago Vista,10/20/2014,78645,8:00,17:00,-97.987372,30.453007,NW,EM,V,G14
ACC Eastview Campus,3401 Webberville Road ,Austin,10/21/2014,78702,8:00,19:00,-97.70696,30.26834,E,EM,V,G14
ACC Rio Grande Campus,1212 Rio Grande Street ,Austin,10/21/2014,78701,8:00,19:00,-97.7471,30.27648,C,EM,V,G14
ACC South Austin Campus,1820 West Stassney Lane  ,Austin,10/21/2014,78745,8:00,19:00,-97.795959,30.21565,S,EM,V,G14
Asian American Resource Center,8401 Cameron Road ,Austin,10/21/2014,78754,9:00,17:00,-97.681268,30.339931,NE,EM,V,G14
Heritage Pointe,1950 Webberville Road ,Austin,10/21/2014,78721,9:00,11:00,-97.672078,30.284326,E,EM,V,G14
Lakeside Senior Center,85 Trinity Street ,Austin,10/21/2014,78701,13:00,15:00,-97.741097,30.26146,C,EM,V,G14
RBJ Residential Tower,21 Waller Street ,Austin,10/21/2014,78702,17:00,19:00,-97.7338,30.25304,E,EM,V,G14
West Rural Community Center,"8656 Highway 71 West, #A ",Austin,10/21/2014,78735,9:00,17:00,-97.893596,30.251449,W,EM,V,G14
ACC Eastview Campus,3401 Webberville Road ,Austin,10/22/2014,78702,8:00,19:00,-97.70696,30.26834,E,EM,V,G14
ACC Rio Grande Campus,1212 Rio Grande Street ,Austin,10/22/2014,78701,8:00,19:00,-97.7471,30.27648,C,EM,V,G14
ACC South Austin Campus,1820 West Stassney Lane  ,Austin,10/22/2014,78745,8:00,19:00,-97.795959,30.21565,S,EM,V,G14
Huston-Tillotson University,900 Chicon Street ,Austin,10/22/2014,78702,8:00,18:00,-97.721688,30.264701,E,EM,V,G14
Stephen F. Austin Building,1700 North Congress Avenue ,Austin,10/22/2014,78701,8:00,17:00,-97.73936,30.27938,C,EM,V,G14
Town Lake Center,721 Barton Springs Road ,Austin,10/22/2014,78704,8:00,12:00,-97.752019,30.258669,SC,EM,V,G14
ACC Eastview Campus,3401 Webberville Road ,Austin,10/23/2014,78702,8:00,19:00,-97.70696,30.26834,E,EM,V,G14
ACC Rio Grande Campus,1212 Rio Grande Street ,Austin,10/23/2014,78701,8:00,19:00,-97.7471,30.27648,C,EM,V,G14
ACC South Austin Campus,1820 West Stassney Lane  ,Austin,10/23/2014,78745,8:00,19:00,-97.795959,30.21565,S,EM,V,G14
Community Center at Manor,600 West Carrie Manor St. ,Manor,10/23/2014,78653,9:00,12:00,-97.563738,30.340233,-,EM,V,G14
Continental Retirement Community,4604 South Lamar Boulevard ,Austin,10/23/2014,78745,16:00,18:00,-97.803249,30.234145,SW,EM,V,G14
Englewood Estates,2603 Jones Road ,Austin,10/23/2014,78745,8:00,10:00,-97.801516,30.223985,S,EM,V,G14
Services for the Deaf & Hard of Hearing,"2201 Post Road, Suite 100 ",Austin,10/23/2014,78704,12:00,14:00,-97.75135,30.24085,S,EM,V,G14
Southwest Key Program,6002 Jain Lane ,Austin,10/23/2014,78721,15:00,19:00,-97.682635,30.261064,E,EM,V,G14
Travis Building,1701 North Congress Avenue ,Austin,10/23/2014,78701,8:00,17:00,-97.73823,30.27906,C,EM,V,G14
ACC Eastview Campus,3401 Webberville Road ,Austin,10/24/2014,78702,8:00,19:00,-97.70696,30.26834,E,EM,V,G14
ACC Pinnacle Campus,7748 Highway 290 West ,Austin,10/24/2014,78736,8:00,17:00,-97.882025,30.23002,S,EM,V,G14
ACC Rio Grande Campus,1212 Rio Grande Street ,Austin,10/24/2014,78701,8:00,19:00,-97.7471,30.27648,C,EM,V,G14
ACC South Austin Campus,1820 West Stassney Lane  ,Austin,10/24/2014,78745,8:00,19:00,-97.795959,30.21565,S,EM,V,G14
Central Services Building,1711 San Jacinto Boulevard ,Austin,10/24/2014,78701,8:00,17:00,-97.735928,30.27869,C,EM,V,G14
YMCA North Austin Branch,1000 West Rundberg Lane ,Austin,10/24/2014,78758,8:00,17:00,-97.70015,30.36491,N,EM,V,G14
ACC Eastview Campus,3401 Webberville Road ,Austin,10/25/2014,78702,9:00,18:00,-97.70696,30.26834,E,EM,V,G14
ACC Rio Grande Campus,1212 Rio Grande Street ,Austin,10/25/2014,78701,9:00,18:00,-97.7471,30.27648,C,EM,V,G14
ACC South Austin Campus,1820 West Stassney Lane  ,Austin,10/25/2014,78745,9:00,18:00,-97.795959,30.21565,S,EM,V,G14
Ce-Bar Fire Department,353 South Commons Ford Road ,Austin,10/25/2014,78733,8:00,17:00,-97.873423,30.323906,W,EM,V,G14
Heritage Park Center,2806 Real Street ,Austin,10/25/2014,78722,12:00,14:00,-97.711979,30.282825,E,EM,V,G14
Parsons House,1130 Camino La Costa ,Austin,10/25/2014,78752,8:00,10:00,-97.696717,30.324508,E,EM,V,G14
Volente Fire Department,15406 FM 2769 ,Volente,10/25/2014,78641,8:00,17:00,-97.90388,30.43569,NW,EM,V,G14
Briarcliff P.O.A. Community Center,22801 Briarcliff Drive ,Briarcliff,10/26/2014,78669,12:00,18:00,-98.05713,30.40658,W,EM,V,G14
Lost Creek MUD Office,1305 Quaker Ridge Drive ,Austin,10/26/2014,78746,12:00,18:00,-97.83352,30.28377,W,EM,V,G14
Westminster Manor,4100 Jackson Avenue ,Austin,10/26/2014,78731,12:00,15:00,-97.755632,30.315133,C,EM,V,G14
ACC Eastview Campus,3401 Webberville Road ,Austin,10/27/2014,78702,8:00,19:00,-97.70696,30.26834,E,EM,V,G14
ACC Rio Grande Campus,1212 Rio Grande Street ,Austin,10/27/2014,78701,8:00,19:00,-97.7471,30.27648,C,EM,V,G14
ACC Riverside Campus,1020 Grove Boulevard ,Austin,10/27/2014,78741,8:00,17:00,-97.70525,30.23688,SE,EM,V,G14
ACC South Austin Campus,1820 West Stassney Lane  ,Austin,10/27/2014,78745,8:00,19:00,-97.795959,30.21565,S,EM,V,G14
